id	data_platnosci	wartosc_platnosci	id_pakietu	id_pojazdu	pakiet
32046084	2031-09-10	1582.0	1193684312178	6c119d266a4f	elektrycznie_ustawiane_fotele
25730340	2032-04-17	10649.0	1456887188800	46aed7fc3254	wentylacja_foteli
146719944	2038-02-25	0.0	1420549867966	3fa5fbebe1ea	elektryczne_szyby_przod
32721088	2031-11-14	2285.0	1068470198058	0d865d0dd29b	elektrycznie_ustawiane_fotele
18724446	2031-12-27	2834.0	1407866317767	a1456016b732	elektrycznie_ustawiane_fotele
2996100	2026-11-01	1351.0	1460913912880	0d865d0dd29b	elektrycznie_ustawiane_fotele
2852190	2025-11-30	623.0	1211035704596	f09a17af4030	elektrycznie_ustawiane_fotele
2973600	2026-12-18	965.0	1358239502191	a1456016b732	elektrycznie_ustawiane_fotele
1055982	2025-10-16	2428.0	1035289209452	06b6ee29b751	wentylacja_foteli
4906076	2027-01-23	806.0	1285300025367	c096b9da232c	elektrycznie_ustawiane_fotele
4991110	2027-02-18	2472.0	1347996617117	a40f6a51b428	wentylacja_foteli
5212352	2027-04-07	3745.0	1441938024220	46aed7fc3254	wentylacja_foteli
7453842	2028-10-20	1382.0	1140435374645	0d865d0dd29b	elektrycznie_ustawiane_fotele
5643312	2027-06-30	1087.0	1039245724558	f09a17af4030	elektrycznie_ustawiane_fotele
10661145	2028-11-26	1339.0	1320755044484	fdaeb343a1c6	elektrycznie_ustawiane_fotele
9592242	2029-01-22	513.0	1015586686982	fdaeb343a1c6	wentylacja_foteli
8299893	2029-01-28	1689.0	1396817362100	a1456016b732	elektrycznie_ustawiane_fotele
14426559	2029-04-10	5094.0	1338790724363	46aed7fc3254	wentylacja_foteli
9451505	2029-07-01	1087.0	1324342338611	f09a17af4030	elektrycznie_ustawiane_fotele
6285592	2028-01-20	3262.0	1399238010764	fdaeb343a1c6	wentylacja_foteli
16093900	2029-11-15	1382.0	1385996433384	0d865d0dd29b	elektrycznie_ustawiane_fotele
5264264	2028-04-08	4666.0	1359204896309	46aed7fc3254	wentylacja_foteli
10402280	2028-07-04	1058.0	1213910050265	f09a17af4030	elektrycznie_ustawiane_fotele
14596296	2030-01-31	1559.0	1440196281011	a1456016b732	elektrycznie_ustawiane_fotele
97531677	2038-03-01	0.0	1103965339049	c73c85b9de67	klimatyzacja_automatyczna
135848813	2038-02-25	25491.0	1022956514669	c72e1be2952c	klimatyzacja_automatyczna
11479530	2029-08-31	1064.0	1406280567768	6c119d266a4f	elektrycznie_ustawiane_fotele
14319675	2029-10-22	4751.0	1043910716600	598bee8de7cd	wentylacja_foteli
9977688	2029-10-24	7063.0	1161693055696	9a004fb1818c	wentylacja_foteli
18559335	2030-02-28	1901.0	1338766901828	c096b9da232c	elektrycznie_ustawiane_fotele
97510464	2035-12-30	2136.0	1250958069476	6c119d266a4f	elektrycznie_ustawiane_fotele
25045559	2031-08-30	1665.0	1337254833144	f09a17af4030	elektrycznie_ustawiane_fotele
20691342	2030-04-19	8090.0	1458235085123	46aed7fc3254	wentylacja_foteli
20461030	2030-08-13	798.0	1451795134552	f09a17af4030	elektrycznie_ustawiane_fotele
22239832	2030-09-03	1087.0	1494609370963	6c119d266a4f	elektrycznie_ustawiane_fotele
16077648	2030-11-18	1582.0	1033358111690	0d865d0dd29b	elektrycznie_ustawiane_fotele
25605110	2031-01-07	1535.0	1027812958445	a1456016b732	elektrycznie_ustawiane_fotele
21876900	2031-03-08	1511.0	1356641165045	c096b9da232c	elektrycznie_ustawiane_fotele
21216270	2031-04-15	7491.0	1217064676523	46aed7fc3254	wentylacja_foteli
189678270	2038-09-25	2037.0	1102762188550	836f4287a5f8	system_nawigacyjny
29037792	2033-04-21	10362.0	1454420954425	46aed7fc3254	wentylacja_foteli
39809044	2033-09-05	2338.0	1110031767208	f09a17af4030	elektrycznie_ustawiane_fotele
51144150	2033-09-17	3348.0	1067668017711	0d865d0dd29b	elektrycznie_ustawiane_fotele
32689224	2033-11-10	2350.0	1468767489596	6c119d266a4f	elektrycznie_ustawiane_fotele
52210204	2033-12-25	2356.0	1213964736277	a1456016b732	elektrycznie_ustawiane_fotele
47174320	2034-04-20	7714.0	1098386167284	46aed7fc3254	wentylacja_foteli
172224030	2038-08-02	10810.0	1487291120381	c3c4adb741df	ogrzewanie_foteli
162925152	2038-08-02	915.0	1467793895060	2848360f1bd3	system_nawigacyjny
69975178	2034-10-02	2326.0	1213978368682	f09a17af4030	elektrycznie_ustawiane_fotele
4930211	2027-08-22	1026.0	1285087491642	fdaeb343a1c6	elektrycznie_ustawiane_fotele
254091979	2039-04-07	6588.0	1055290716353	d3fc30a895e1	klimatyzacja_automatyczna
4103771	2027-11-04	1925.0	1008346123567	0d865d0dd29b	elektrycznie_ustawiane_fotele
193150962	2038-10-13	127.0	1289363077301	194090f2ad34	system_nawigacyjny
5602212	2028-01-27	2137.0	1275383806846	a1456016b732	elektrycznie_ustawiane_fotele
1017825	2025-09-16	843.0	1116672518987	9d4564f66af8	elektrycznie_ustawiane_fotele
5114838	2028-02-15	1030.0	1156882977078	a40f6a51b428	wentylacja_foteli
1519656	2026-01-04	886.0	1424318534830	c096b9da232c	elektrycznie_ustawiane_fotele
1529636	2026-02-14	1157.0	1145318675962	a1456016b732	elektrycznie_ustawiane_fotele
8061973	2028-03-17	1364.0	1349582570789	a40f6a51b428	wentylacja_foteli
1690750	2026-03-21	4749.0	1388141754737	46aed7fc3254	wentylacja_foteli
2519001	2026-05-07	976.0	1303064034445	9d4564f66af8	elektrycznie_ustawiane_fotele
4949000	2028-04-30	1971.0	1080845093711	a40f6a51b428	wentylacja_foteli
24930774	2032-09-03	1464.0	1354933637980	f09a17af4030	elektrycznie_ustawiane_fotele
9528840	2028-07-28	1917.0	1247201891310	a40f6a51b428	wentylacja_foteli
8320756	2028-08-05	6232.0	1359528388832	598bee8de7cd	wentylacja_foteli
154797608	2038-09-26	137.0	1289167506280	ae6ac50ca64d	system_nawigacyjny
10425876	2028-08-28	876.0	1294561643267	fdaeb343a1c6	elektrycznie_ustawiane_fotele
